Date,Price
2024-03-21,170.5646209716797
2024-03-22,171.47035217285156
2024-03-25,170.0470733642578
2024-03-26,168.9124298095703
2024-03-27,172.49549865722656
2024-03-28,170.67410278320312
2024-04-01,169.23092651367188
2024-04-02,168.04649353027344
2024-04-03,168.85269165039062
2024-04-04,168.026611328125
2024-04-05,168.7830352783203
2024-04-08,167.65834045410156
2024-04-09,168.8726043701172
2024-04-10,166.99148559570312
2024-04-11,174.2173614501953
2024-04-12,175.72027587890625
2024-04-15,171.87841796875
2024-04-16,168.583984375
2024-04-17,167.21046447753906
2024-04-18,166.2549591064453
2024-04-19,164.22454833984375
2024-04-22,165.06060791015625
2024-04-23,166.11561584472656
2024-04-24,168.2256622314453
2024-04-25,169.09156799316406
2024-04-26,168.5043487548828
2024-04-29,172.6846160888672
2024-04-30,169.52951049804688
2024-05-01,168.5043487548828
2024-05-02,172.21681213378906
2024-05-03,182.5181884765625
2024-05-06,180.85604858398438
2024-05-07,181.5427703857422
2024-05-08,181.88119506835938
2024-05-09,183.7025909423828
2024-05-10,182.43685913085938
2024-05-13,185.65602111816406
2024-05-14,186.80215454101562
2024-05-15,189.0845184326172
2024-05-16,189.2041015625
2024-05-17,189.23399353027344
2024-05-20,190.40008544921875
2024-05-21,191.70570373535156
2024-05-22,190.2605438232422
2024-05-23,186.25401306152344
2024-05-24,189.3436279296875
2024-05-28,189.3535919189453
2024-05-29,189.652587890625
2024-05-30,190.6492462158203
2024-05-31,191.6060333251953
2024-06-03,193.38006591796875
2024-06-04,193.69900512695312
2024-06-05,195.21389770507812
2024-06-06,193.82855224609375
2024-06-07,196.23048400878906
2024-06-10,192.47311401367188
2024-06-11,206.45611572265625
2024-06-12,212.35629272460938
2024-06-13,213.5223846435547
2024-06-14,211.7782440185547
2024-06-17,215.94422912597656
2024-06-18,213.5721893310547
2024-06-20,208.97764587402344
2024-06-21,206.79498291015625
2024-06-24,207.44281005859375
2024-06-25,208.3697052001953
2024-06-26,212.5356903076172
2024-06-27,213.38284301757812
2024-06-28,209.9144744873047
2024-07-01,216.02395629882812
2024-07-02,219.5321807861328
2024-07-03,220.80789184570312
2024-07-05,225.5818328857422
2024-07-08,227.056884765625
2024-07-09,227.9139862060547
2024-07-10,232.1995849609375
2024-07-11,226.80772399902344
2024-07-12,229.76776123046875
2024-07-15,233.61483764648438
2024-07-16,234.03343200683594
2024-07-17,228.1133270263672
2024-07-18,223.42906188964844
2024-07-19,223.55862426757812
2024-07-22,223.20980834960938
2024-07-23,224.2563018798828
2024-07-24,217.80795288085938
2024-07-25,216.76148986816406
2024-07-26,217.22991943359375
2024-07-29,217.50897216796875
2024-07-30,218.06710815429688
2024-07-31,221.3361053466797
2024-08-01,217.62855529785156
2024-08-02,219.12353515625
2024-08-05,208.5690155029297
2024-08-06,206.5358428955078
2024-08-07,209.1171875
2024-08-08,212.59548950195312
2024-08-09,215.51568603515625
2024-08-12,217.0522918701172
2024-08-13,220.78408813476562
2024-08-14,221.23309326171875
2024-08-15,224.22650146484375
2024-08-16,225.5535888671875
2024-08-19,225.3939208984375
2024-08-20,226.0125732421875
2024-08-21,225.90281677246094
2024-08-22,224.0369110107422
2024-08-23,226.3418426513672
2024-08-26,226.68109130859375
2024-08-27,227.52923583984375
2024-08-28,225.99261474609375
2024-08-29,229.28536987304688
2024-08-30,228.49710083007812
2024-09-03,222.28079223632812
2024-09-04,220.36500549316406
2024-09-05,221.8916473388672
2024-09-06,220.33506774902344
2024-09-09,220.4248809814453
2024-09-10,219.62661743164062
2024-09-11,222.17103576660156
2024-09-12,222.28079223632812
2024-09-13,222.01136779785156
2024-09-16,215.84495544433594
2024-09-17,216.31390380859375
2024-09-18,220.20535278320312
2024-09-19,228.3673858642578
2024-09-20,227.6988525390625
2024-09-23,225.97265625
2024-09-24,226.8706817626953
2024-09-25,225.8728790283203
2024-09-26,227.02035522460938
2024-09-27,227.2897491455078
2024-09-30,232.48831176757812
2024-10-01,225.71322631835938
2024-10-02,226.28196716308594
2024-10-03,225.17440795898438
2024-10-04,226.30194091796875
2024-10-07,221.2031707763672
2024-10-08,225.27420043945312
2024-10-09,229.03591918945312
2024-10-10,228.53700256347656
2024-10-11,227.05029296875
2024-10-14,230.79205322265625
2024-10-15,233.33645629882812
2024-10-16,231.27099609375
2024-10-17,231.6401824951172
2024-10-18,234.4839324951172
2024-10-21,235.96067810058594
2024-10-22,235.342041015625
2024-10-23,230.25323486328125
2024-10-24,230.06365966796875
2024-10-25,230.9018096923828
2024-10-28,232.88743591308594
2024-10-29,233.15684509277344
2024-10-30,229.59469604492188
2024-10-31,225.4138946533203
