ds,y
2024-03-20,127.28425190001454
2024-03-21,126.23670412712028
2024-03-22,124.17890463785942
2024-03-25,126.0003184337399
2024-03-26,124.12455477552238
2024-03-27,123.50508356717515
2024-03-28,123.77178934731818
2024-03-29,125.1082693868746
2024-04-01,126.75409891872754
2024-04-02,123.25319497687863
2024-04-03,124.34889103897751
2024-04-04,118.60115695858538
2024-04-05,119.22400619854108
2024-04-08,122.88101240188364
2024-04-09,120.60300855870263
2024-04-10,118.10940462418982
2024-04-11,121.73399736547664
2024-04-12,118.48293223797104
2024-04-15,115.44828021580392
2024-04-16,110.18855066788804
2024-04-17,111.83086355017556
2024-04-18,116.41450541003087
2024-04-19,116.72339567901413
2024-04-22,120.2479217165469
2024-04-23,119.20406819817948
2024-04-24,123.25565673177206
2024-04-25,120.268405324342
2024-04-26,123.09676156687233
2024-04-29,122.19072798250579
2024-04-30,118.63918322099633
2024-05-01,115.20417569215437
2024-05-02,112.56904239461717
2024-05-03,112.53102271825253
2024-05-06,107.87017559107935
2024-05-07,107.471014186174
2024-05-08,107.94678030076447
2024-05-09,111.47907154416191
2024-05-10,113.4221931853059
2024-05-13,116.2971517006354
2024-05-14,117.80949982388897
2024-05-15,120.04786754530332
2024-05-16,119.3550561527438
2024-05-17,117.72131627733177
2024-05-20,116.0991788875461
2024-05-21,115.17866102517847
2024-05-22,115.93444865172589
2024-05-23,116.82683903998648
2024-05-24,121.76583428843466
2024-05-27,121.93505231316759
2024-05-28,120.5291902834141
2024-05-29,120.94823958418026
2024-05-30,124.39192110020285
2024-05-31,126.34818952885227
2024-06-03,129.09477777771266
2024-06-04,129.206088183193
2024-06-05,126.1726621576784
2024-06-06,121.89906962840978
2024-06-07,120.80143009462084
2024-06-10,122.80450111294522
2024-06-11,121.1166103614452
2024-06-12,117.74735684952269
2024-06-13,119.9670654892639
2024-06-14,116.90081441705125
2024-06-17,116.54670722731079
2024-06-18,113.08631926433372
2024-06-19,116.31237381844818
2024-06-20,113.73330530659705
2024-06-21,112.4622207718146
2024-06-24,112.50242465659538
2024-06-25,105.90570682577409
2024-06-26,107.83890768006424
2024-06-27,107.1030863622634
2024-06-28,105.87645772562799
2024-07-01,106.98122015645488
2024-07-02,106.86852280289456
2024-07-03,109.46712013305248
2024-07-04,107.68719842476575
2024-07-05,109.29962785363047
2024-07-08,106.26913947608395
2024-07-09,108.67401099760839
2024-07-10,109.3744591827644
2024-07-11,112.77321104996417
2024-07-12,115.0735829359161
2024-07-15,112.35174390156081
2024-07-16,108.01635898268059
2024-07-17,109.44576488231233
2024-07-18,113.12437779529189
2024-07-19,111.42750848386122
2024-07-22,115.13803733991531
2024-07-23,117.08087903873937
2024-07-24,118.40030371079949
2024-07-25,119.61266133111282
2024-07-26,118.36367923310068
2024-07-29,119.39656276935726
2024-07-30,118.68979515013179
2024-07-31,116.9681408317455
2024-08-01,114.668220745249
2024-08-02,117.77039914311815
2024-08-05,113.37532811479831
2024-08-06,109.69345333111387
2024-08-07,108.76528906717563
2024-08-08,108.94878573409615
2024-08-09,114.242319668223
2024-08-12,114.0211674405759
2024-08-13,112.80985188551173
2024-08-14,107.19548461703334
2024-08-15,103.32626442822092
2024-08-16,102.99489623615773
2024-08-19,101.29008345030081
2024-08-20,102.78194649226208
2024-08-21,100.60737615102558
2024-08-22,96.43373127703106
2024-08-23,97.34979289486125
2024-08-26,97.74503111024994
2024-08-27,93.53681696992636
2024-08-28,96.4132134278918
2024-08-29,90.7311613330524
2024-08-30,90.85134434220271
2024-09-02,93.43488425645857
2024-09-03,89.75221286160419
2024-09-04,90.83274097773338
2024-09-05,92.19709680046152
2024-09-06,93.01973166357025
2024-09-09,90.82076579684389
2024-09-10,90.40321247237172
2024-09-11,94.15500689700191
2024-09-12,95.61012332564502
2024-09-13,94.94430973573392
2024-09-16,94.803270420252
2024-09-17,96.73420028602231
2024-09-18,91.89362720739865
2024-09-19,96.13599415826168
2024-09-20,96.28778725089751
2024-09-23,94.88266121420116
2024-09-24,96.63844713991347
2024-09-25,95.44396655368789
2024-09-26,96.8412772031089
2024-09-27,100.5339370168456
2024-09-30,102.39299050380954
2024-10-01,97.72033768219914
2024-10-02,95.16008401103231
2024-10-03,92.80095287124297
2024-10-04,88.5719499155301
2024-10-07,88.55813430771165
2024-10-08,88.91869425003907
2024-10-09,87.49516741851357
2024-10-10,87.26615751757741
2024-10-11,90.2258914958219
2024-10-14,95.81041753122375
2024-10-15,94.93913021025773
2024-10-16,87.76347682407622
2024-10-17,90.5677746947511
2024-10-18,89.83223686601679
2024-10-21,86.05871934213819
2024-10-22,85.1285893032471
2024-10-23,84.97988810303796
2024-10-24,84.41590534321672
2024-10-25,86.73038778137335
2024-10-28,90.16626227935582
2024-10-29,96.82405230901205
2024-10-30,96.0203390603777
2024-10-31,91.4137654766318
2024-11-01,92.00780269457368
2024-11-04,88.1842723517937
2024-11-05,93.04397203805996
2024-11-06,94.60965519610913
2024-11-07,96.00555363668005
2024-11-08,99.14460350137504
2024-11-11,98.93460459642371
2024-11-12,96.53281917155327
2024-11-13,93.6647607271409
2024-11-14,90.79559759463675
2024-11-15,89.63900999254906
2024-11-18,89.47347224212002
2024-11-19,90.4892574029219
2024-11-20,87.31220128047089
2024-11-21,87.48695327754827
2024-11-22,88.2269982286284
2024-11-25,94.27541240590473
2024-11-26,91.70068406893557
2024-11-27,88.42826680974589
2024-11-28,84.95449111536469
2024-11-29,87.13694962223038
2024-12-02,80.8310484518338
2024-12-03,78.58287783101427
2024-12-04,76.89477156711446
2024-12-05,72.98953326499081
2024-12-06,73.1056272745549
2024-12-09,70.03170513351172
2024-12-10,70.78767048307222
2024-12-11,70.07469537774718
2024-12-12,67.79355796630225
2024-12-13,65.71899038056254
2024-12-16,65.78518202572754
2024-12-17,65.80500410867009
2024-12-18,67.37498905632522
2024-12-19,69.66585071965363
2024-12-20,70.90433919763719
2024-12-23,71.84336098745206
2024-12-24,73.47033568023038
2024-12-25,77.954674391188
2024-12-26,76.68897982696778
2024-12-27,77.32001425827269
2024-12-30,74.46304855228968
2024-12-31,76.74645978631881
2025-01-01,79.50076421969813
2025-01-02,79.71590270773449
2025-01-03,79.70305159288219
2025-01-06,78.44167528200144
2025-01-07,77.52088489235419
2025-01-08,78.26824057530375
2025-01-09,87.62589936604371
2025-01-10,88.61190797264555
2025-01-13,90.6083055846076
2025-01-14,86.884920760021
2025-01-15,84.10140616827674
2025-01-16,85.06562424655434
2025-01-17,90.28707459101251
2025-01-20,84.56598614055555
2025-01-21,87.12218742956867
2025-01-22,87.35212298460199
2025-01-23,88.65486687172435
2025-01-24,87.33376419957007
2025-01-27,88.15512299022605
2025-01-28,88.53271434023375
2025-01-29,85.25454636164652
2025-01-30,86.68805097002678
2025-01-31,85.99464059728354
2025-02-03,87.26038267546004
2025-02-04,88.61308344891863
2025-02-05,92.75576891932084
2025-02-06,95.2716204740641
2025-02-07,91.7802651934357
2025-02-10,87.08313474113105
2025-02-11,85.89440776158037
2025-02-12,81.343211246388
2025-02-13,83.71908290592492
2025-02-14,83.52574100033621
2025-02-17,84.0865451507771
2025-02-18,80.1607337516785
2025-02-19,79.99836517645477
2025-02-20,82.34525932557175
2025-02-21,83.95752947118451
2025-02-24,83.62690609138158
2025-02-25,86.68618820157218
2025-02-26,83.54787198325741
2025-02-27,85.9468649226031
2025-02-28,84.42461316138476
2025-03-03,79.47807767722063
2025-03-04,75.95035857781362
2025-03-05,73.99960177780358
2025-03-06,77.41097590716853
2025-03-07,75.5935910986054
2025-03-10,73.62078954242655
2025-03-11,73.78641419817406
2025-03-12,69.00166219793353
2025-03-13,71.24776752153359
2025-03-14,66.8904499197902
2025-03-17,67.44770902613864
2025-03-18,68.04426450789722
2025-03-19,67.9983824740968
2025-03-20,68.50226749595376
